Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Ticker
2025-01-16 09:00:00-05:00,,,,GS
2025-01-16 08:00:00-05:00,,,,GS
2024-10-15 09:00:00-04:00,,,,GS
2024-10-15 08:00:00-04:00,,,,GS
2024-07-15 09:00:00-04:00,,,,GS
2024-07-15 08:00:00-04:00,,,,GS
2024-04-15 09:00:00-04:00,8.87,,,GS
2024-04-15 08:00:00-04:00,8.87,,,GS
2024-01-16 07:00:00-05:00,3.51,5.48,0.5602,GS
2023-10-17 07:00:00-04:00,5.31,5.47,0.0298,GS
2023-07-19 07:00:00-04:00,3.18,3.08,-0.031000000000000003,GS
2023-04-18 07:00:00-04:00,8.1,9.87,0.21910000000000002,GS
2025-01-14 07:00:00-05:00,,,,MS
2024-10-16 08:00:00-04:00,,,,MS
2024-07-16 08:00:00-04:00,,,,MS
2024-04-16 09:00:00-04:00,1.68,,,MS
2024-04-16 08:00:00-04:00,1.68,,,MS
2024-01-16 07:00:00-05:00,1.01,0.99,-0.0221,MS
2023-10-18 07:00:00-04:00,1.28,1.38,0.078,MS
2023-07-18 07:00:00-04:00,1.15,1.24,0.0792,MS
2023-04-19 07:00:00-04:00,1.62,1.7,0.0497,MS
2023-01-17 07:00:00-05:00,1.19,1.26,0.0572,MS
2022-10-14 05:00:00-04:00,1.49,1.47,-0.010900000000000002,MS
2022-07-14 07:00:00-04:00,1.53,1.39,-0.0919,MS
2025-01-15 08:00:00-05:00,,,,JPM
2025-01-15 08:00:00-05:00,,,,JPM
2024-10-11 08:00:00-04:00,,,,JPM
2024-10-11 08:00:00-04:00,,,,JPM
2024-07-12 08:00:00-04:00,,,,JPM
2024-07-12 08:00:00-04:00,,,,JPM
2024-04-12 08:00:00-04:00,4.21,,,JPM
2024-04-12 08:00:00-04:00,4.21,,,JPM
2024-01-30 05:00:00-05:00,3.32,3.04,-0.0843,JPM
2024-01-12 06:00:00-05:00,3.32,3.04,-0.085,JPM
2023-10-13 06:00:00-04:00,3.96,4.5,0.1371,JPM
2023-07-14 06:00:00-04:00,4.0,4.98,0.2465,JPM
2025-01-10 08:00:00-05:00,,,,BAC
2024-10-15 08:00:00-04:00,,,,BAC
2024-10-15 06:00:00-04:00,,,,BAC
2024-07-16 08:00:00-04:00,,,,BAC
2024-07-16 08:00:00-04:00,,,,BAC
2024-05-07 11:00:00-04:00,0.76,,,BAC
2024-04-16 08:00:00-04:00,0.76,,,BAC
2024-04-16 08:00:00-04:00,0.76,,,BAC
2024-01-12 06:00:00-05:00,0.68,0.7,0.0262,BAC
2023-10-17 06:00:00-04:00,0.82,0.9,0.1,BAC
2023-07-18 06:00:00-04:00,0.84,0.88,0.0464,BAC
2023-04-18 06:00:00-04:00,0.82,0.94,0.1512,BAC
